Name,Shop,Link,Price,Date
"Monitor gaming - Samsung LC24RG50 24'', Curvo, Full HD, 4 ms, 144 Hz, Negro",MediaMarkt,https://www.mediamarkt.es/es/product/_monitor-gaming-samsung-lc24rg50-24-curvo-full-hd-4-ms-144-hz-negro-1452823.html,179,2020-10-07
"Monitor gaming - AOC G2460PF, Full HD, 144Hz, 1ms, 24""",MediaMarkt,https://www.mediamarkt.es/es/product/_monitor-gaming-aoc-g2460pf-full-hd-144hz-1ms-24-1310405.html,224,2020-10-07
"Monitor gaming - MSI OPTIX G241, 23.8"" LED IPS, Full-HD, 1 ms, 144Hz, FreeSync, HDMI, Negro",MediaMarkt,https://www.mediamarkt.es/es/product/_monitor-gaming-msi-optix-g241-23-8-led-ips-full-hd-1-ms-144hz-freesync-hdmi-negro-1475191.html,247,2020-10-07
"Monitor gaming - HP 24x, 23.8"", Full HD, 1 ms, 144 Hz, Negro",MediaMarkt,https://www.mediamarkt.es/es/product/_monitor-gaming-hp-24x-23-8-full-hd-1-ms-144-hz-negro-1467147.html,209,2020-10-07
"Monitor Gaming - Asus VG248QE, Gaming,24"", TN, FHD,144 Hz,1ms,350 nits, DisplayPort",MediaMarkt,https://www.mediamarkt.es/es/product/_monitor-gaming-asus-vg248qe-gaming-24-tn-fhd-144-hz-1ms-350-nits-displayport-1187193.html,199,2020-10-07
"Portátil gaming - MSI Prestige 15, 15.6"" FHD, Intel® Core™ i7-10710U, 16GB, 512+512 GB, GTX1650, W10H, Plata",MediaMarkt,https://www.mediamarkt.es/es/product/_port%C3%A1til-gaming-msi-prestige-15-15-6-fhd-intel%C2%AE-core%E2%84%A2-i7-10710u-16gb-512-512-gb-gtx1650-w10h-plata-1485804.html,1649,2020-10-07
"BenQ ZOWIE XL2411P - Monitor Gaming de 24"" FullHD (1920x1080, 1ms, 144Hz, HDMI, Black eQualizer, Color Vibrance, DisplayPort, DVI-DL, Flicker-free, Altura Ajustable) - Gris Oscuro",Amazon,https://www.amazon.es/BenQ-ZOWIE-XL2411P-Sport-DisplayPort/dp/B075JGL4WV/ref=sr_1_1?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3H3OEELUC7P8V&dchild=1&keywords=monitores+144+hz&qid=1602066197&sprefix=monitores+144%2Caps%2C172&sr=8-1,199.00 ,2020-10-07
"Samsung C24RG52 - Monitor Curvo Gaming de 24'' (Full HD, 4ms, 144 Hz, FreeSync, Flicker-Free, LED, VA, 16:9, 3000:1, 1800R, 250 cd/m², 178°, HDMI, Base en V) Negro",Amazon,https://www.amazon.es/Samsung-C24RG52-Monitor-FreeSync-Flicker-Free/dp/B083T2NH8P/ref=sr_1_2?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3H3OEELUC7P8V&dchild=1&keywords=monitores+144+hz&qid=1602069903&refinements=p_n_feature_browse-bin%3A949750031%7C949751031&rnid=949747031&s=computers&sprefix=monitores+144%2Caps%2C172&sr=1-2,179.99 ,2020-10-07
"AOC 24G2U/BK Monitor Gaming de 24"" Full HD e-Sports (IPS, 1ms, AMD FreeSync, 144Hz, Sin Marco, Ajustable en altura y FlickerFree)",Amazon,https://www.amazon.es/AOC-24G2U-BK-Ajustable-FlickerFree/dp/B07Y3RYLVH/ref=sr_1_4?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3H3OEELUC7P8V&dchild=1&keywords=monitores+144+hz&qid=1602069903&refinements=p_n_feature_browse-bin%3A949750031%7C949751031&rnid=949747031&s=computers&sprefix=monitores+144%2Caps%2C172&sr=1-4,189.98 ,2020-10-07
"ViewSonic VX2458-C-MHD Monitor Gaming Curvo Full HD 24"" AMD FreeSync (144Hz, 1ms, 1080p, 1800R, DVI, HDMI, DisplayPort, 2X Altavoces 3W) Negro",Amazon,https://www.amazon.es/Mon-24-1920X1080-16-144HZ/dp/B07H5GNR18/ref=sr_1_5?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3H3OEELUC7P8V&dchild=1&keywords=monitores+144+hz&qid=1602069903&refinements=p_n_feature_browse-bin%3A949750031%7C949751031&rnid=949747031&s=computers&sprefix=monitores+144%2Caps%2C172&sr=1-5,169.00 ,2020-10-07
"ASUS VG248QE Serie VG248 - Monitor de Gaming de 24"" (Full-HD 1920x1080, 1 ms, Free-Sync, HDMI x2, DisplayPort, D-Sub Flicker-Free, Panel TN, altavoces, con base ergonómica), color Negro",Amazon,https://www.amazon.es/ASUS-VG248QE-1920x1080-Altavoces-DisplayPort/dp/B00B19T7QC/ref=sr_1_9?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3H3OEELUC7P8V&dchild=1&keywords=monitores+144+hz&qid=1602069903&refinements=p_n_feature_browse-bin%3A949750031%7C949751031&rnid=949747031&s=computers&sprefix=monitores+144%2Caps%2C172&sr=1-9,199.00 ,2020-10-07
"AOC G2590FX- Monitor de 24.5"" 144 Hz Full HD (1920 x 1080 Pixeles, 1 ms, FreeSync, Flickerfree, Shadow Control, Displayport, HDMI)",Amazon,https://www.amazon.es/AOC-Gaming-G2590FX-Pantalla-Plana/dp/B07D377Q6D/ref=sr_1_11?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3H3OEELUC7P8V&dchild=1&keywords=monitores+144+hz&qid=1602069903&refinements=p_n_feature_browse-bin%3A949750031%7C949751031&rnid=949747031&s=computers&sprefix=monitores+144%2Caps%2C172&sr=1-11,169.99 ,2020-10-07
"Lenovo G25-10 24.5 "" FHD TN G-Sync Gaming Monitor 144 Hz 1 ms HDMI+DP 3 lados sin bordes Regulable en altura - Negro",Amazon,https://www.amazon.es/Lenovo-G25-Pantalla-respuesta-FreeSync/dp/B082MZM43X/ref=sr_1_15?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3H3OEELUC7P8V&dchild=1&keywords=monitores+144+hz&qid=1602069903&refinements=p_n_feature_browse-bin%3A949750031%7C949751031&rnid=949747031&s=computers&sprefix=monitores+144%2Caps%2C172&sr=1-15,199.00 ,2020-10-07
"Prechen Monitor Gaming 23.8 Pulgadas Full HD 1920x1080 Pixeles,IPS,144 Hz, 3 ms,Puerto VGA/HDMI,Brillo Inteligente/Menos luz Azul/Marco Ultrafino,Negro",Amazon,https://www.amazon.es/Prechen-Pulgadas-1920x1080-Inteligente-Ultrafino/dp/B08CX74C45/ref=sr_1_16?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3H3OEELUC7P8V&dchild=1&keywords=monitores+144+hz&qid=1602069903&refinements=p_n_feature_browse-bin%3A949750031%7C949751031&rnid=949747031&s=computers&sprefix=monitores+144%2Caps%2C172&sr=1-16,169.99 ,2020-10-07
"Thinlerain - Monitor 24 Pulgadas 144 Hz, Full HD 1920 x 1080 IPS Pantalla LED Monitor Juegos, (5 ms, HDMI/VGA), Color Negro",Amazon,https://www.amazon.es/Thinlerain-Monitor-Pulgadas-Pantalla-Juegos/dp/B089XYB72K/ref=sr_1_18?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3H3OEELUC7P8V&dchild=1&keywords=monitores+144+hz&qid=1602069903&refinements=p_n_feature_browse-bin%3A949750031%7C949751031&rnid=949747031&s=computers&sprefix=monitores+144%2Caps%2C172&sr=1-18,169.99 ,2020-10-07
"AMD Ryzen 7 2700X - Procesador con disipador de calor Wraith Prism (16 MB, 8 núcleos, velocidad de 4.35 GhZ, 105 W)",Amazon,https://www.amazon.es/AMD-Ryzen-2700X-Procesador-disipador/dp/B07B428M7F/ref=sr_1_1?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=procesadores+amd&qid=1602070275&sr=8-1,179.90 ,2020-10-07
